VSPC_Name,Address,City,State,ZIP,VSPC_Latitude,VSPC_Longitude
Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.608274887955744,-105.0188881082992
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,Aurora,CO,80012,39.7087716881346,-104.81474986607813
Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.633553212446316,-104.68912718495126
Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.590544313360326,-104.85627912782668
Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.724940516728296,-104.84910572528804
Aurora Public Schools Educational Service Center 4,1085 Peoria St,Aurora,CO,80011,39.73388166458309,-104.84771876318169
Aurora Public Schools Professional Learning & Conference Center,15771 E 1st Ave,Aurora,CO,80011,39.72058253659017,-104.80474230787424
Beck Recreation Center,800 Telluride St,Aurora,CO,80011,39.73055742739373,-104.77980023595714
Bemis Public Library,6014 S Datura St,Littleton,CO,80120,39.60788423451915,-105.00377161101055
Central Recreation Center,18150 E Vassar Pl,Aurora,CO,80013,39.66882135612159,-104.77474402857561
Cherry Creek School District Instructional Support Facility,5416 S Riviera Way,Centennial,CO,80112,39.61991742350876,-104.73732039332928
City of Aurora Municipal Center,15151 E Alameda Pkwy,Aurora,CO,80012,39.710939194131676,-104.81169759451926
City of Glendale Municipal Building,950 S. Birch Street,Glendale,CO,80246,39.69903579462828,-104.93606703235127
City of Sheridan Municipal Building,4101 S Federal Blvd,Sheridan,CO,80110,39.641923555298085,-105.02659358606886
Community College of Aurora CentreTech Campus,16000 E CentreTech Pkwy,Aurora,CO,80011,39.71800229439271,-104.80270212086928
Community College of Aurora Lowry Campus,710 Alton Way,Denver,CO,80230,39.728357863069846,-104.88204128911954
Cook Park Recreation Center,7100 Cherry Creek S Dr,Denver,CO,80224,39.68723582366944,-104.90887411861293
Englewood Civic Center,1000 Englewood Pkwy,Englewood,CO,80110,39.65488297539241,-104.99832744047103
Greenwood Village City Hall,6060 S Quebec St,Greenwood Village,CO,80111,39.60659716215891,-104.90318859424694
Heather Gardens,2888 S Heather Gardens Way,Aurora,CO,80014,39.663533414404135,-104.83107979351828
Kelver Library,585 S Main St,Byers,CO,80103,39.703337577016484,-104.22382817345328
"Martin Luther King, Jr. Library",9898 E. Colfax Ave,Aurora,CO,80010,39.73997991802986,-104.87349903416151
Mission Viejo Library,15324 E Hampden Cir,Aurora,CO,80013,39.651067400729026,-104.80811835911354
Murphy Creek Golf Course,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,39.685639554005796,-104.70737777251487
Parkside Village Retirement Resort,14501 E Crestline Dr,Aurora,CO,80015,39.62148268315485,-104.81920306411358
Pickens Technical College,500 Airport Blvd Bldg E,Aurora,CO,80011,39.723860185954656,-104.78980422250675
Smoky Hill Library,5430 S Biscay Cir,Centennial,CO,80015,39.618304079420255,-104.7672439390529
Southglenn Library,6972 S Vine St,Centennial,CO,80122,39.590837240246614,-104.96423713720502
Tallyns Reach Library,23911 E Arapahoe Rd,Aurora,CO,80016,39.590343177333324,-104.70901570770036
The Avenue Church,13231 E Mississippi Ave,Aurora,CO,80012,39.69758355448659,-104.83532054700967
Trails Recreation Center,16799 E. Lake Ave.,Centennial,CO,80016,39.61050762501705,-104.79561016112257
Vista PEAK,24500 E. 6th Ave,Aurora,CO,80018,39.72399192592024,-104.70154232405697
