VSPC_Name,Address,City,State,ZIP,VSPC_Latitude,VSPC_Longitude
Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.608274887955744,-105.0188881082992
Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,Aurora,CO,80012,39.7226,-104.7839
Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486
Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881
Aurora Center for Active Adults,30 Del Mar Cir,Aurora,CO,80011,39.7291,-104.864
Aurora Public Schools Educational Service Center 4,1085 Peoria St,Aurora,CO,80011,39.7406,-104.8363
Aurora Public Schools Professional Learning & Conference Center,15771 E 1st Ave,Aurora,CO,80011,39.7411,-104.7988
Beck Recreation Center,800 Telluride St,Aurora,CO,80011,39.7316,-104.8071
Bemis Public Library,6014 S Datura St,Littleton,CO,80120,39.6072,-105.026
Central Recreation Center,18150 E Vassar Pl,Aurora,CO,80013,39.737,-104.774
Cherry Creek School District Instructional Support Facility,5416 S Riviera Way,Centennial,CO,80112,39.5794,-104.9389
City of Aurora Municipal Center,15151 E Alameda Pkwy,Aurora,CO,80012,39.7008,-104.7999
City of Glendale Municipal Building,950 S. Birch Street,Glendale,CO,80246,39.699078,-104.936013
City of Sheridan Municipal Building,4101 S Federal Blvd,Sheridan,CO,80110,39.6515,-105.0212
Community College of Aurora CentreTech Campus,16000 E CentreTech Pkwy,Aurora,CO,80011,39.7329,-104.8304
Community College of Aurora Lowry Campus,710 Alton Way,Denver,CO,80230,39.702851,-104.879361
Cook Park Recreation Center,7100 Cherry Creek S Dr,Denver,CO,80224,39.6948,-104.9162
Englewood Civic Center,1000 Englewood Pkwy,Englewood,CO,80110,39.6476,-104.9877
Greenwood Village City Hall,6060 S Quebec St,Greenwood Village,CO,80111,39.6139,-104.8893
Heather Gardens,2888 S Heather Gardens Way,Aurora,CO,80014,39.7067,-104.8125
Kelver Library,585 S Main St,Byers,CO,80103,39.7088,-104.2235
"Martin Luther King, Jr. Library",9898 E. Colfax Ave,Aurora,CO,80010,39.739659,-104.873538
Mission Viejo Library,15324 E Hampden Cir,Aurora,CO,80013,39.708,-104.7846
Murphy Creek Golf Course,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,39.683763,-104.709516
Parkside Village Retirement Resort,14501 E Crestline Dr,Aurora,CO,80015,39.7093,-104.7195
Pickens Technical College,500 Airport Blvd Bldg E,Aurora,CO,80011,39.7299,-104.8395
Smoky Hill Library,5430 S Biscay Cir,Centennial,CO,80015,39.582,-104.8664
Southglenn Library,6972 S Vine St,Centennial,CO,80122,39.5825,-104.9508
Tallyns Reach Library,23911 E Arapahoe Rd,Aurora,CO,80016,39.6806,-104.6871
The Avenue Church,13231 E Mississippi Ave,Aurora,CO,80012,39.6824,-104.742
Trails Recreation Center,16799 E. Lake Ave.,Centennial,CO,80016,39.610379,-104.795841
Vista PEAK,24500 E. 6th Ave,Aurora,CO,80018,39.723954,-104.701549
